id,name,producer,country,region,zone,denomination,vintage,grape_varieties,color,color_detail,body,tannins,acidity,quality,balance,persistence,alcohol_level,sweetness,food_pairings,occasion,style_tags,price_avg,price_min,availability,purchase_url,description
1,Trebbiano d'Abruzzo DOC,Valle Reale,Italy,Abruzzo,Trebbiano d'Abruzzo,Trebbiano d'Abruzzo,2022,trebbiano,white,white,medium,low,high,2.8,3.0,2.6,12.5,dry,pasta_sugo_verdure|pesce_griglia,aperitif,fresco;minerale,9.5,8.9,available,,Bianco fresco e agrumato con note di limone e fiori bianchi.
2,Nebbiolo Langhe DOC,Marchesi di Barolo,Italy,Piemonte,Langhe,Langhe Nebbiolo,2021,nebbiolo,red,red,medium,medium,medium,3.6,3.5,3.7,13.5,dry,carne_arrosto_grigliata|formaggi_stagionati,dinner,elegante;strutturato;frutta rossa,18.9,17.5,available,,"Rosso elegante con ciliegia, rosa e leggere spezie."
3,Taurasi DOCG,Mastroberardino,Italy,Campania,Taurasi,Taurasi,2019,aglianico,red,red,high,high,medium,4.5,4.3,4.6,14.5,dry,carne_rossa_umido|selvaggina,important_dinner,potente;longevo,39.0,36.0,available,,"Rosso intenso con prugna, tabacco, spezie e struttura profonda."
4,Sagrantino di Montefalco DOCG,Arnaldo Caprai,Italy,Umbria,Montefalco,Sagrantino di Montefalco,2018,sagrantino,red,red,high,high,medium,4.7,4.6,4.8,15.0,dry,carne_rossa_umido|selvaggina,meditation,tannico;potente,44.0,41.0,available,,"Rosso molto strutturato con mora, cacao e spezie scure."
5,Lugana DOC,Cà dei Frati,Italy,Lombardia,Lugana,Lugana,2023,turbiana,white,white,medium,low,medium,3.9,4.0,3.8,13.0,dry,pesce_griglia|risotto_verdure,dinner,elegante;fresco;minerale;agrumi,16.5,15.2,available,,"Bianco elegante con agrumi, pesca bianca e mineralità."
6,Chianti Classico DOCG,Castello di Ama,Italy,Toscana,Chianti,Chianti Classico,2021,sangiovese,red,red,medium,medium,high,3.8,3.9,3.7,13.5,dry,carne_arrosto_grigliata|pasta_sugo_verdure,lunch,strutturato;equilibrato,21.0,19.5,available,,"Note di ciliegia, viola e spezie leggere con buona freschezza."
7,Barbera d'Alba DOC,G.D. Vajra,Italy,Piemonte,Alba,Barbera d'Alba,2022,barbera,red,red,medium,medium,high,3.2,3.1,3.0,13.0,dry,affettati_salumi|pasta_sugo_verdure,everyday,fresco;fruttato,13.5,12.0,available,,Fruttato e vivace con ciliegia e acidità brillante.
8,Vermentino di Sardegna DOC,Argiolas,Italy,Sardegna,Vermentino,Vermentino,2023,vermentino,white,white,low,low,high,3.4,3.5,3.3,12.5,dry,pesce_crostacei_vapore|pesce_griglia,summer,fresco;floreale,12.0,10.8,available,,"Bianco aromatico con agrumi, fiori e finale sapido."
9,Barolo DOCG Serralunga d'Alba,G.D. Vajra,Italy,Piemonte,Serralunga d'Alba,Barolo,2019,nebbiolo,red,red,high,high,high,4.6,4.5,4.7,14.5,dry,carne_rossa_umido|formaggi_stagionati|selvaggina,important_dinner,strutturato;potente;tannico;longevo,65.0,58.0,available,,"Barolo di Serralunga: tannino deciso, rosa appassita, liquirizia e spezie, struttura profonda."
10,Barolo DOCG Monforte d'Alba,Vietti,Italy,Piemonte,Monforte d'Alba,Barolo,2018,nebbiolo,red,red,high,high,high,4.7,4.6,4.8,14.5,dry,carne_rossa_umido|risotto_funghi|selvaggina,important_dinner,strutturato;potente;tannico;complesso,72.0,64.0,available,,"Barolo intenso: ciliegia nera, goudron, spezie e finale lungo, molto strutturato."
11,Barbaresco DOCG,Produttori del Barbaresco,Italy,Piemonte,Barbaresco,Barbaresco,2020,nebbiolo,red,red,high,medium,high,4.4,4.3,4.5,14.0,dry,carne_arrosto_grigliata|formaggi_stagionati|risotto_verdure,dinner,strutturato;elegante;tannico,42.0,38.0,available,,"Nebbiolo elegante ma di struttura: rosa, ciliegia, spezie e tannino presente."
12,Barolo DOCG Serralunga d'Alba,,Italy,Piemonte,Serralunga d'Alba,Barolo,2020,nebbiolo,red,red,high,high,medium,4.8,4.7,4.9,14.5,dry,carne_rossa_umido|formaggi_stagionati|selvaggina,important_dinner,strutturato;longevo;speziato,65.0,55.0,available,,"Nebbiolo profondo e tannico con note di rosa, catrame, ciliegia matura e spezie."
13,Brunello di Montalcino DOCG,,Italy,Toscana,Montalcino,Brunello di Montalcino,2019,sangiovese,red,red,high,medium,medium,4.7,4.6,4.8,14.0,dry,carne_arrosto_grigliata|carne_rossa_umido|risotto_funghi,important_dinner,elegante;strutturato;equilibrato;longevo,52.0,45.0,available,,"Sangiovese elegante con ciliegia, tabacco, cuoio e finale lungo."
14,Amarone della Valpolicella DOCG,,Italy,Veneto,Valpolicella,Amarone della Valpolicella,2018,corvina;corvinone;rondinella,red,red,high,medium,low,4.6,4.4,4.8,15.5,dry,carne_rossa_umido|formaggi_stagionati,meditation,potente;ricco;speziato,58.0,49.0,available,,"Rosso ricco e avvolgente con amarena sotto spirito, cacao e spezie dolci."
15,Etna Rosso DOC,,Italy,Sicilia,Etna,Etna Rosso,2022,nerello mascalese;nerello cappuccio,red,red,medium,medium,high,4.3,4.3,4.2,13.5,dry,affettati_salumi|carni_bianche_umido|risotto_funghi,dinner,minerale;fine;fresco,29.0,24.0,available,,"Rosso vulcanico fine con frutti rossi, erbe mediterranee e mineralità."
16,Franciacorta DOCG Brut,,Italy,Lombardia,Franciacorta,Franciacorta,NV,chardonnay;pinot nero,white,sparkling,medium,low,high,4.4,4.4,4.3,12.5,dry,frittura_pesce|pesce_griglia|stuzzichini_tartine,aperitif,elegante;spumante;metodo classico;brut,34.0,29.0,available,,"Metodo classico elegante con crosta di pane, agrumi e bollicina fine."
17,Verdicchio dei Castelli di Jesi DOC Classico,,Italy,Marche,Castelli di Jesi,Verdicchio dei Castelli di Jesi,2023,verdicchio,white,white,medium,low,high,4.1,4.2,4.0,13.0,dry,pasta_sugo_verdure|pesce_griglia|risotto_verdure,dinner,minerale;agrumi;fresco,14.5,12.0,available,,"Bianco sapido con agrumi, mandorla e finale pulito."
